code,rdkit_smiles
029,N=C(N)NCC1CCC(CC1)C(=O)O
02A,O=C(O)C1CCN1
02B,COc1cc(C)c(c(C)c1C)S(=O)(=O)O
02C,N=C(N)c1csc(CN)n1
02D,N=C(N)c1ccc(CN)s1
02E,COC=CCC(N)P(O)(O)(Oc1ccccc1)Oc1ccccc1
02F,COCCCC(N)P(=O)(O)O
02G,O=C(O)CC(O)C=CCCS
02H,NC(Cc1ccccc1)CC(O)C(N)Cc1ccc(cc1)c1cccnc1
02I,Nc1ncnc2c1nc1C(OP(=O)(O)O)C3OC(CC3O)n12
02J,Cc1cc(no1)C(=O)O
02K,NC1(CCCCC1)C(=O)O
02L,CC(C)(C)CNC(=O)CC(N)C(=O)O
02N,Cc1ccc(cc1)CN
02O,CC(C)(C)c1noc(CC(N)C(=O)O)n1
02P,C[n+]1ccc(Cl)cc1CNC(=O)C1CCCN1C(=O)C(N)Cc1ccccc1
02Q,Cc1ccccc1CCC(=O)O
02R,NCc1ccccc1Cl
02S,O=C(O)c1ccc(cc1)OCc1ccccc1
02T,Cc1ccsc1CN
02U,CCC(C)CCCC=CCCCCCCCC(=O)O
02V,CNC(C(=O)O)c1ccc(O)c(O)c1
02W,Cc1nc2ccccc2n1CCN
02X,CC(C)C(CC(=O)O)C(=O)O
02Y,N#[N+]CC(=O)CCC(N)C(=O)O
02Z,NC(=O)c1sc(nc1N)Nc1ccccc1
030,O=C(O)OC1CC2OCC(O)C2C1
031,COc1ccc(cc1)S(=O)(=O)N(CC1CCC(=O)N1)CC(O)C(Cc1ccccc1)NC(=O)OC1CC2CCOC2C1
032,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(cc23)c2ccc(Cl)cc2)c1F
033,CC(C)C(NS(=O)(=O)c1ccc(cc1)c1ccc(cc1)NC(=O)c1cc2ccccc2o1)C(=O)O
034,CC(C)c1onc(c1COc1ccc(cc1)c1ccc2[nH]c(cc2c1)C(=O)O)c1c(Cl)cccc1Cl
035,O=C(O)C(CCCCCOP(=O)(O)O)OP(=O)(O)O
